Año,Periodo,Semana,Muertes_Semanales_Todas_Causas,Muertes_Semanales_Covid
2021,Semana 2,11-Jan-21,11862,0
2021,Semana 3,18-Jan-21,1295,0
2021,Semana 4,25-Jan-21,12703,0
2021,Semana 5,1-Feb-21,11577,0
2021,Semana 6,8-Feb-21,10375,0
2021,Semana 7,15-Feb-21,9489,1652
2021,Semana 8,22-Feb-21,9037,2041
2021,Semana 9,1-Mar-21,8546,1996
2021,Semana 10,8-Mar-21,8325,1120
2021,Semana 11,15-Mar-21,8080,652
2021,Semana 12,22-Mar-21,8199,2100
2021,Semana 13,29-Mar-21,8200,688
2021,Semana 14,5-Apr-21,8079,630
2021,Semana 15,12-Apr-21,7958,653
2021,Semana 16,19-Apr-21,8094,610
2021,Semana 17,26-Apr-21,7867,625
2021,Semana 18,3-May-21,8067,576
2021,Semana 19,10-May-21,7744,547
2021,Semana 20,17-May-21,7615,281
2021,Semana 21,24-May-21,7438,285
2021,Semana 22,31-May-21,7355,291
2021,Semana 23,7-Jun-21,7713,305
2021,Semana 24,14-Jun-21,7807,151
2021,Semana 25,21-Jun-21,7286,127
2021,Semana 26,28-Jun-21,7555,132
2021,Semana 27,5-Jul-21,7543,92
2021,Semana 28,12-Jul-21,7564,93
2021,Semana 29,19-Jul-21,8479,125
2021,Semana 30,26-Jul-21,8367,265
2021,Semana 31,2-Aug-21,8642,520
2021,Semana 32,9-Aug-21,8856,464
2021,Semana 33,16-Aug-21,8759,666
2021,Semana 34,23-Aug-21,8219,864
2021,Semana 35,30-Aug-21,7939,795
2021,Semana 36,6-Sep-21,7900,495
2021,Semana 37,13-Sep-21,7512,493
2021,Semana 38,20-Sep-21,7435,446
2021,Semana 39,27-Sep-21,7555,234
2021,Semana 40,4-Oct-21,7529,315
2021,Semana 41,11-Oct-21,7590,196
2021,Semana 42,18-Oct-21,7745,158
2021,Semana 43,25-Oct-21,8182,236
2021,Semana 44,1-Nov-21,7819,136
2021,Semana 45,8-Nov-21,8723,169
2021,Semana 46,15-Nov-21,8786,137
2021,Semana 47,22-Nov-21,8848,145
2021,Semana 48,29-Nov-21,9377,204
2021,Semana 49,6-Dec-21,9012,222
2021,Semana 50,13-Dec-21,9489,327
2021,Semana 51,20-Dec-21,9780,311
2021,Semana 52,27-Dec-21,9827,386
2022,Semana 1,3-Jan-22,9936,529
2022,Semana 2,10-Jan-22,10695,825
2022,Semana 3,17-Jan-22,10848,982
2022,Semana 4,24-Jan-22,11228,1225
2022,Semana 5,31-Jan-22,10891,1269
2022,Semana 6,7-Feb-22,10031,1760
2022,Semana 7,14-Feb-22,9270,2003
2022,Semana 8,21-Feb-22,8944,1412
2022,Semana 9,28-Feb-22,8629,1003
2022,Semana 10,7-Mar-22,8508,722
2022,Semana 11,14-Mar-22,8531,568
2022,Semana 12,21-Mar-22,8538,689
2022,Semana 13,28-Mar-22,8496,149
2022,Semana 14,4-Apr-22,8703,563
2022,Semana 15,11-Apr-22,8692,162
2022,Semana 16,18-Apr-22,8379,1603
2022,Semana 17,25-Apr-22,8501,1734
2022,Semana 18,2-May-22,8463,1649
2022,Semana 19,9-May-22,8779,1624
2022,Semana 20,16-May-22,8829,1470
2022,Semana 21,23-May-22,7935,1292
2022,Semana 22,30-May-22,8203,1263
2022,Semana 23,6-Jun-22,8435,885
2022,Semana 24,13-Jun-22,8323,691
2022,Semana 25,20-Jun-22,7973,317